,id,campaign_id,coupon_id,customer_id,redemption_status,recency,history,used_discount,used_bogo,is_referral,channel,offer,conversion
130,209,13,125,900,1,9,329.96,0,1,1,Phone,No Offer,0
131,213,8,902,28,1,7,185.73,1,0,0,Phone,Discount,0
132,214,12,526,42,1,11,52.08,0,1,0,Web,Buy One Get One,0
133,215,13,144,538,1,1,616.73,0,1,1,Web,Discount,0
134,217,11,506,106,1,9,123.39,1,0,0,Phone,Buy One Get One,0
135,218,8,554,1082,1,3,249.71,1,0,0,Phone,No Offer,0
136,219,26,936,212,1,2,46.09,0,1,0,Web,No Offer,0
137,220,11,971,1324,1,8,48.87,1,0,1,Web,Discount,0
138,221,30,872,871,1,10,77.37,1,0,0,Phone,Buy One Get One,0
139,222,29,873,501,1,4,270.24,1,0,1,Phone,No Offer,0
140,224,29,643,1229,1,9,228.8,1,0,0,Multichannel,Discount,1
141,225,8,433,343,1,3,80.18,0,1,0,Phone,Buy One Get One,0
142,228,29,538,634,1,11,131.76,0,1,1,Web,Buy One Get One,1
143,230,13,131,754,1,9,162.59,0,1,0,Phone,Discount,1
144,231,4,591,41,1,12,87.62,1,0,1,Phone,Discount,0
145,233,13,608,206,1,3,29.99,1,0,0,Phone,Discount,0
146,238,29,800,131,1,3,29.99,0,1,0,Web,Buy One Get One,0
147,239,8,723,1145,1,7,59.96,1,0,1,Web,Buy One Get One,0
148,240,8,76,612,1,7,78.49,0,1,0,Web,Buy One Get One,0
149,241,13,152,1351,1,2,29.99,0,1,0,Phone,Discount,0
150,242,29,696,992,1,7,206.8,1,0,0,Phone,Buy One Get One,0
151,243,8,544,1307,1,7,229.53,1,0,0,Web,Discount,1
152,247,13,148,936,1,1,439.93,1,1,1,Multichannel,No Offer,0
153,250,8,97,389,1,10,313.67,1,0,1,Phone,Buy One Get One,1
154,254,7,687,532,1,7,29.99,1,0,1,Web,Buy One Get One,0
155,255,12,819,1026,1,3,57.33,0,1,0,Web,Buy One Get One,1
156,259,13,673,403,1,2,289.55,0,1,0,Phone,No Offer,1
157,260,13,123,718,1,5,29.99,0,1,1,Phone,Discount,1
158,261,8,490,38,1,9,274.29,1,0,0,Web,No Offer,0
159,262,8,55,1246,1,1,293.37,1,0,0,Phone,No Offer,0
160,264,9,989,569,1,12,29.99,1,0,1,Phone,No Offer,0
161,265,8,83,176,1,1,407.09,1,0,0,Web,No Offer,0
162,266,8,437,1449,1,1,142.4,0,1,0,Phone,No Offer,0
163,267,3,836,725,1,1,29.99,0,1,1,Web,Discount,0
164,269,8,806,866,1,12,284.54,1,1,0,Web,Discount,0
165,270,13,891,1173,1,2,60.2,0,1,1,Web,No Offer,0
166,273,9,870,384,1,4,1089.77,1,0,1,Multichannel,Discount,0
167,275,13,132,835,1,7,29.99,1,0,1,Web,Buy One Get One,0
168,277,13,542,923,1,1,747.31,0,1,1,Web,Buy One Get One,0
169,279,8,64,125,1,6,136.63,1,0,1,Web,Buy One Get One,0
170,282,13,1114,694,1,10,29.99,1,0,1,Web,Buy One Get One,0
171,283,30,646,1192,1,11,54.11,1,0,1,Web,Buy One Get One,0
172,284,30,566,1462,1,1,790.36,1,1,1,Multichannel,Discount,0
173,286,11,913,1058,1,4,36.49,1,0,1,Web,No Offer,0
174,287,9,520,1339,1,12,271.89,1,0,0,Web,Discount,0
175,290,11,910,430,1,5,399.46,1,0,0,Web,Buy One Get One,0
176,291,11,913,1489,1,3,39.83,0,1,1,Phone,Discount,1
177,292,13,467,1192,1,10,153.58,1,0,0,Phone,Buy One Get One,0
178,293,8,581,191,1,5,269.99,1,1,0,Phone,Discount,0
179,295,8,537,1031,1,2,29.99,1,0,1,Web,Buy One Get One,0
180,298,8,656,1236,1,4,292.61,1,0,0,Multichannel,No Offer,0
181,299,13,960,467,1,2,576.02,0,1,1,Web,Buy One Get One,0
182,301,10,996,726,1,6,29.99,1,0,0,Web,No Offer,0
183,304,11,1012,1199,1,9,116.3,1,0,1,Web,Discount,1
184,305,8,759,932,1,5,29.99,1,0,0,Web,No Offer,0
185,306,11,1044,1332,1,3,29.99,0,1,1,Web,No Offer,0
186,307,8,616,402,1,7,968.65,1,1,1,Web,Buy One Get One,0
187,308,8,883,1446,1,7,39.78,0,1,0,Web,Discount,0
188,309,8,658,1292,1,9,311.81,1,0,0,Multichannel,Buy One Get One,1
189,313,13,754,93,1,1,720.17,1,1,1,Phone,Discount,0
190,316,8,430,835,1,4,69.08,0,1,0,Phone,Discount,0
191,317,13,796,474,1,12,80.56,1,0,0,Web,Buy One Get One,0
192,318,13,786,450,1,1,301.19,1,0,1,Web,No Offer,0
193,320,8,694,1158,1,10,307.64,0,1,0,Multichannel,Discount,0
194,321,13,119,38,1,7,481.56,1,0,0,Web,Discount,0
195,322,8,481,1089,1,10,29.99,0,1,0,Web,No Offer,0
196,325,13,940,1183,1,1,895.43,0,1,1,Web,Buy One Get One,0
197,326,8,916,355,1,5,425.1,1,0,1,Phone,Discount,0
198,328,30,348,1357,1,10,36.28,1,0,1,Web,No Offer,0
199,329,26,855,1426,1,4,413.46,0,1,0,Phone,Buy One Get One,0
200,330,8,554,273,1,7,32.42,1,0,0,Phone,No Offer,0
201,331,11,1012,776,1,10,170.32,1,0,1,Phone,Buy One Get One,0
202,332,8,792,727,1,1,150.93,1,0,0,Web,No Offer,0
203,335,10,968,737,1,11,223.39,1,0,1,Phone,Buy One Get One,0
204,336,13,625,136,1,1,506.51,1,0,1,Multichannel,No Offer,0
205,337,9,105,553,1,8,575.62,1,1,1,Multichannel,Discount,0
206,342,26,470,1074,1,3,29.99,0,1,0,Web,Buy One Get One,1
207,343,8,283,1373,1,2,145.76,0,1,1,Web,No Offer,1
208,345,8,554,293,1,1,29.99,1,0,1,Phone,Buy One Get One,0
209,346,13,161,626,1,8,428.0,1,0,1,Multichannel,No Offer,0
210,347,8,6,654,1,6,604.39,1,1,1,Phone,No Offer,0
211,351,12,466,1387,1,8,171.88,1,0,0,Phone,No Offer,0
212,352,30,1036,1061,1,4,370.86,0,1,0,Multichannel,Buy One Get One,0
213,353,5,663,1346,1,8,138.62,0,1,1,Web,Buy One Get One,0
214,355,30,742,1348,1,7,29.99,1,0,1,Web,Discount,0
215,356,8,598,324,1,1,209.98,1,0,0,Web,No Offer,1
216,357,13,1112,130,1,3,166.0,0,1,0,Web,No Offer,0
217,359,26,797,214,1,10,88.37,0,1,0,Phone,Buy One Get One,1
218,360,8,744,306,1,8,336.76,0,1,0,Phone,Discount,0
219,361,13,480,686,1,1,60.71,0,1,1,Phone,Buy One Get One,0
220,362,8,63,691,1,4,356.73,0,1,0,Web,No Offer,0
221,363,13,556,639,1,4,52.12,1,0,0,Phone,Discount,0
222,365,13,909,1528,1,7,406.7,0,1,1,Phone,Discount,0
223,366,13,734,800,1,6,277.81,1,0,1,Multichannel,No Offer,0
224,367,8,1085,392,1,1,181.98,0,1,1,Web,Discount,0
225,368,7,1050,1208,1,2,112.13,1,0,1,Web,Buy One Get One,0
226,369,13,113,684,1,5,29.99,0,1,1,Web,No Offer,0
227,370,13,27,1168,1,5,439.26,1,0,0,Multichannel,Buy One Get One,0
228,371,13,153,1315,1,8,64.16,0,1,0,Web,Buy One Get One,0
229,372,13,949,441,1,5,29.99,0,1,0,Web,No Offer,1
230,374,26,1057,1046,1,6,29.99,0,1,1,Web,Discount,0
231,378,8,1018,189,1,2,591.95,0,1,1,Multichannel,Buy One Get One,0
232,380,8,257,1006,1,8,130.31,1,0,1,Phone,No Offer,0
233,383,26,327,523,1,3,65.26,1,0,0,Web,Discount,1
234,384,10,279,1285,1,10,132.46,1,0,0,Phone,Buy One Get One,0
235,385,8,754,40,1,4,225.89,1,1,1,Web,Buy One Get One,0
236,386,7,641,607,1,2,115.56,0,1,1,Web,No Offer,0
237,387,13,754,1103,1,8,104.94,0,1,0,Phone,No Offer,0
238,389,13,694,108,1,7,69.44,1,0,0,Web,Discount,1
239,391,11,980,106,1,10,47.47,0,1,0,Phone,Buy One Get One,0
240,392,13,1029,954,1,1,215.08,0,1,0,Web,Buy One Get One,1
241,393,13,617,395,1,2,224.89,1,1,0,Multichannel,No Offer,0
242,395,13,111,498,1,9,201.75,1,1,0,Phone,Buy One Get One,0
243,397,13,152,888,1,5,354.03,1,0,0,Web,Discount,0
244,398,9,468,814,1,10,151.43,1,0,0,Web,No Offer,0
245,400,29,868,117,1,11,120.14,1,0,0,Web,Discount,0
246,401,8,68,779,1,5,159.41,0,1,1,Phone,Buy One Get One,1
247,403,8,81,640,1,5,290.86,1,0,1,Web,No Offer,0
248,404,8,1045,1479,1,4,87.2,0,1,1,Phone,Buy One Get One,1
249,406,9,520,316,1,11,81.06,1,0,0,Web,Discount,0
250,407,30,531,531,1,10,55.11,1,0,1,Web,Discount,0
251,410,29,538,1212,1,1,513.83,0,1,1,Multichannel,Discount,0
252,411,13,1065,437,1,4,770.38,0,1,1,Multichannel,No Offer,0
253,412,12,783,1026,1,1,33.5,1,0,0,Web,Discount,0
254,413,13,434,297,1,2,56.25,1,0,1,Phone,Discount,0
255,417,13,949,973,1,2,1093.92,1,1,1,Web,No Offer,0
256,418,13,888,691,1,1,752.8,1,1,1,Phone,No Offer,0
257,419,29,265,1429,1,2,199.95,1,0,1,Phone,No Offer,0
258,420,29,418,876,1,9,239.91,0,1,0,Phone,No Offer,0
259,421,10,279,1372,1,8,43.16,0,1,1,Phone,No Offer,0
260,423,29,1040,278,1,2,418.81,0,1,0,Multichannel,No Offer,0
261,424,8,432,590,1,9,318.52,0,1,0,Web,Buy One Get One,0
262,425,26,769,790,1,1,109.26,0,1,1,Web,Buy One Get One,1
263,428,26,912,1238,1,3,67.4,1,0,0,Web,Discount,0
264,430,8,11,764,1,9,135.02,1,0,1,Web,Buy One Get One,0
265,435,8,46,473,1,10,54.25,0,1,0,Web,Discount,0
266,438,10,106,566,1,3,55.34,1,0,1,Phone,Buy One Get One,0
267,440,13,723,1267,1,4,297.8,1,1,0,Phone,Buy One Get One,1
268,441,8,97,344,1,4,146.49,0,1,0,Phone,Buy One Get One,0
269,445,9,468,1202,1,7,329.26,0,1,0,Web,Discount,0
270,446,13,1031,105,1,1,29.99,1,0,1,Phone,Discount,0
271,447,8,88,56,1,4,249.61,0,1,1,Phone,Buy One Get One,0
272,449,8,54,1195,1,5,39.52,1,0,1,Phone,Discount,0
273,450,8,682,1357,1,1,307.58,1,0,0,Multichannel,No Offer,0
274,452,8,761,1368,1,6,92.32,0,1,0,Phone,Discount,0
275,454,8,733,594,1,6,464.17,0,1,0,Multichannel,Buy One Get One,0
276,455,8,807,776,1,6,29.99,1,0,1,Web,Buy One Get One,0
277,456,11,571,1359,1,2,435.33,0,1,0,Web,Buy One Get One,0
278,457,13,951,1334,1,10,375.9,0,1,0,Web,Discount,0
279,461,13,511,89,1,9,29.99,1,0,0,Web,Discount,0
280,463,8,1058,1471,1,9,220.51,1,0,0,Multichannel,Discount,0
281,465,8,598,1201,1,5,180.28,0,1,0,Phone,Buy One Get One,0
282,468,8,792,1234,1,6,78.69,0,1,0,Phone,Discount,0
283,469,30,324,566,1,2,350.48,1,0,1,Web,Buy One Get One,0
284,470,26,492,1044,1,3,376.14,1,0,0,Phone,No Offer,0
285,472,11,759,420,1,1,179.63,1,0,0,Phone,Discount,1
286,473,26,529,1464,1,6,164.51,1,0,0,Phone,Buy One Get One,1
287,474,13,601,866,1,8,59.76,0,1,1,Web,Discount,0
288,475,13,262,561,1,11,29.99,0,1,0,Web,Buy One Get One,0
289,478,26,925,1146,1,2,407.64,0,1,1,Web,Buy One Get One,0
290,479,8,293,820,1,1,143.0,0,1,0,Phone,Buy One Get One,0
291,483,13,844,1563,1,4,320.17,0,1,1,Phone,Discount,0
292,484,8,889,1039,1,1,103.07,1,0,0,Web,Discount,0
293,485,13,726,956,1,10,35.84,1,0,1,Phone,No Offer,0
294,486,13,281,136,1,3,190.66,0,1,1,Web,Buy One Get One,0
295,487,5,663,795,1,2,90.91,1,0,0,Web,Discount,0
296,488,28,492,401,1,5,215.03,0,1,1,Web,No Offer,0
297,491,13,21,1419,1,1,856.4,0,1,1,Web,No Offer,0
298,492,4,16,808,1,10,139.83,1,0,1,Phone,Discount,0
299,494,13,780,448,1,10,245.09,1,0,0,Multichannel,No Offer,0
300,495,12,1075,167,1,6,127.2,0,1,0,Phone,No Offer,0
301,496,26,746,477,1,1,470.65,1,0,0,Phone,Discount,0
302,497,8,793,1085,1,1,59.13,1,0,1,Web,Discount,0
303,499,12,107,268,1,3,327.1,1,0,1,Web,No Offer,0
304,502,9,19,1520,1,1,399.72,1,1,0,Phone,Discount,1
305,503,30,1015,1497,1,3,29.99,1,0,0,Phone,No Offer,0
306,504,27,724,195,1,6,398.03,1,1,0,Phone,No Offer,0
307,505,5,279,301,1,4,134.24,0,1,0,Web,Discount,1
308,506,13,1025,819,1,10,290.55,0,1,0,Web,Discount,0
309,507,8,672,797,1,7,29.99,1,0,0,Web,No Offer,0
310,508,4,860,1549,1,4,87.69,1,0,0,Web,Discount,0
311,515,13,473,1200,1,10,335.77,0,1,0,Multichannel,Buy One Get One,0
312,516,8,616,39,1,12,465.37,0,1,1,Multichannel,No Offer,0
313,517,5,955,88,1,12,75.26,1,0,1,Phone,Buy One Get One,0
314,518,13,155,445,1,10,327.18,0,1,0,Phone,Buy One Get One,0
315,519,29,896,1445,1,1,188.89,0,1,1,Web,No Offer,0
316,521,10,280,302,1,4,49.8,1,0,1,Web,Discount,0
317,523,8,56,944,1,7,688.51,1,1,1,Multichannel,Buy One Get One,0
318,525,13,22,413,1,3,229.42,0,1,0,Multichannel,No Offer,0
319,526,8,983,689,1,1,253.18,0,1,0,Multichannel,Discount,0
320,528,13,135,1389,1,2,156.4,0,1,0,Web,Discount,0
321,529,8,532,704,1,2,196.93,0,1,1,Web,Buy One Get One,0
322,530,26,466,969,1,4,557.47,1,0,1,Web,No Offer,0
323,531,8,725,852,1,12,177.66,1,0,0,Phone,Buy One Get One,1
324,532,8,810,815,1,9,29.99,0,1,0,Phone,Buy One Get One,0
325,533,13,139,1216,1,11,140.07,0,1,1,Web,Discount,0
326,534,8,56,768,1,10,168.04,1,0,0,Web,No Offer,0
327,535,8,99,1538,1,5,173.65,1,0,0,Web,Buy One Get One,0
328,536,30,563,153,1,4,164.7,1,0,0,Phone,No Offer,0
329,538,8,285,1474,1,2,57.53,1,0,1,Phone,No Offer,0
330,539,26,301,152,1,10,29.99,1,0,0,Web,Buy One Get One,0
331,541,13,135,1246,1,3,188.19,1,0,0,Phone,Discount,1
332,543,8,87,839,1,10,29.99,0,1,0,Web,No Offer,1
333,545,8,919,1039,1,1,35.23,1,0,1,Phone,Discount,0
334,546,13,508,279,1,4,63.22,1,0,0,Web,Buy One Get One,0
335,548,8,49,433,1,4,550.59,1,0,1,Web,No Offer,0
336,549,8,674,30,1,6,232.94,1,0,1,Multichannel,Discount,0
337,554,13,27,1061,1,11,91.23,1,0,0,Web,Buy One Get One,0
338,555,8,75,43,1,2,571.53,1,0,1,Multichannel,Buy One Get One,0
339,557,13,167,1481,1,1,169.31,0,1,1,Web,Buy One Get One,0
340,558,29,265,1212,1,10,205.88,1,0,0,Phone,No Offer,0
341,560,30,683,1256,1,1,1281.48,1,0,1,Phone,Discount,0
342,561,8,87,854,1,3,29.99,1,0,0,Web,No Offer,1
343,563,26,620,958,1,3,542.16,1,0,1,Phone,Discount,1
344,564,13,284,279,1,7,424.6,0,1,1,Phone,Buy One Get One,0
345,566,12,466,569,1,6,507.25,0,1,1,Phone,Discount,0
346,567,13,504,852,1,10,29.99,1,0,0,Web,Discount,0
347,569,9,635,569,1,2,373.14,0,1,0,Multichannel,Buy One Get One,1
348,570,8,817,124,1,7,60.02,1,0,1,Phone,Discount,0
349,571,7,986,1084,1,1,68.5,0,1,0,Phone,No Offer,0
350,572,26,367,766,1,11,37.45,0,1,0,Phone,No Offer,0
351,575,8,481,651,1,2,38.34,1,0,0,Web,Buy One Get One,0
352,576,8,247,1340,1,5,545.73,1,0,1,Multichannel,Buy One Get One,0
353,577,13,24,53,1,4,70.39,0,1,1,Web,No Offer,0
354,579,8,532,860,1,6,98.8,0,1,1,Phone,Discount,1
355,584,5,1043,301,1,9,29.99,1,0,0,Web,Buy One Get One,0
356,589,8,885,1489,1,5,556.5,0,1,1,Web,Discount,0
357,590,30,294,953,1,4,29.99,1,0,0,Phone,Buy One Get One,0
358,591,8,296,792,1,6,136.26,0,1,1,Web,No Offer,0
359,592,10,106,1419,1,2,936.63,1,0,1,Phone,Buy One Get One,0
360,594,13,773,996,1,9,172.14,0,1,0,Phone,Discount,0
361,596,8,66,516,1,2,203.52,1,1,1,Multichannel,No Offer,1
362,598,8,81,243,1,1,422.81,0,1,0,Phone,Buy One Get One,1
363,599,13,26,71,1,10,320.11,0,1,0,Web,No Offer,0
364,601,26,514,387,1,12,29.99,0,1,0,Phone,Buy One Get One,0
365,603,8,989,1411,1,8,267.25,0,1,0,Phone,Discount,0
366,607,13,465,7,1,11,164.9,0,1,0,Phone,Buy One Get One,0
367,609,13,865,862,1,11,265.39,0,1,0,Multichannel,Buy One Get One,0
368,612,8,737,883,1,9,744.22,1,0,1,Web,No Offer,0
369,613,13,454,179,1,3,99.25,1,0,1,Phone,No Offer,0
370,615,13,919,1210,1,5,62.49,1,0,0,Web,No Offer,0
371,617,12,779,439,1,4,72.66,0,1,1,Phone,Discount,0
372,618,13,586,872,1,10,333.65,0,1,0,Web,No Offer,0
373,620,13,672,1358,1,7,340.18,0,1,0,Phone,No Offer,0
374,621,30,980,1554,1,4,300.58,0,1,1,Web,Buy One Get One,0
375,623,13,954,734,1,10,62.63,0,1,1,Phone,Discount,0
376,626,12,492,537,1,10,357.28,0,1,0,Web,Buy One Get One,0
377,628,4,16,957,1,5,283.55,1,0,1,Phone,No Offer,0
378,634,13,162,866,1,9,48.93,1,0,1,Phone,Buy One Get One,0
379,635,5,1043,42,1,9,54.34,1,0,0,Phone,Discount,1
380,638,30,303,1458,1,5,247.82,1,0,0,Phone,Discount,0
381,639,13,504,1441,1,11,178.56,1,0,0,Phone,Discount,0
382,640,10,824,226,1,2,86.38,1,0,1,Web,Discount,0
383,641,30,261,633,1,7,233.4,1,1,0,Multichannel,No Offer,0
384,642,26,305,294,1,2,189.67,1,0,1,Web,Buy One Get One,0
385,643,8,740,1044,1,1,1524.15,1,0,1,Web,No Offer,0
